8,804,4
4,838,1
5,832,2
6,824,4
7,824,4
8,824,4
4,858,1
5,852,2
6,844,4
7,844,4
8,844,4
4,878,1
5,872,2
6,864,4
7,864,4
8,864,4
4,898,1
5,892,2
6,884,4
7,884,4
8,884,4
4,918,1
5,912,2
6,904,4
7,904,4
8,904,4
4,938,1
5,932,2
6,924,4
7,924,4
8,924,4
4,958,1
5,952,2
6,944,4
7,944,4
8,944,4
4,978,1
5,972,2
6,964,3
7,964,4
8,964,4
4,998,1
5,992,2
6,984,4
7,984,4
8,984,4
4,1018,1
5,1012,2
6,1004,4
7,1004,4
8,1004,4
4,1038,1
5,1032,2
6,1024,3
7,1024,4
8,1024,4
4,1058,1
5,1052,2
6,1044,4
7,1044,3
8,1044,4
4,1078,1
5,1072,2
6,1064,4
7,1064,4
8,1064,4
4,1098,1
5,1092,2
6,1084,4
7,1084,4
8,1084,4
4,1118,1
5,1112,2
6,1104,4
7,1104,3
8,1104,4
4,1138,1
5,1132,2
6,1124,4
7,1124,4
8,1124,4
4,1158,1
5,1152,2
6,1144,4
7,1144,4
8,1144,4
4,1178,1
5,1172,2
6,1164,4
7,1164,4
8,1164,4
4,1198,1
5,1192,2
6,1184,4
7,1184,4
8,1184,4
4,1218,1
5,1212,2
6,1204,4
7,1204,3
8,1204,4
4,1238,1
5,1232,2
6,1224,4
7,1224,4
8,1224,3
4,1258,1
5,1252,2
6,1244,4
7,1244,4
8,1244,4
4,1278,1
5,1272,2
6,1264,4
7,1264,4
8,1264,4
4,1298,1
5,1292,2
6,1284,4
7,1284,4
8,1284,4
4,1318,1
5,1312,2
6,1304,4
7,1304,3
8,1304,4
4,1338,1
5,1332,1
7,1324,4
8,1324,4
4,1358,1
5,1352,1
7,1344,4
8,1344,4
4,1378,1
5,1372,1
7,1364,4
8,1364,4
4,1398,1
5,1392,1
7,1384,4
8,1384,4
4,1418,1
5,1412,1
7,1404,4
8,1404,4
4,1438,1
5,1432,1
7,1424,3
8,1424,4
4,1458,1
5,1452,1
7,1444,4
8,1444,4
4,1478,1
5,1472,1
7,1464,4
8,1464,4
4,1498,1
5,1492,1
7,1484,4
8,1484,4
4,1518,1
5,1512,1
7,1504,4
8,1504,4
4,1538,1
5,1532,1
7,1524,4
8,1524,4
4,1558,1
5,1552,1
7,1544,4
8,1544,4
4,1578,1
5,1572,1
7,1564,4
8,1564,4
4,1598,1
5,1592,1
7,1584,4
8,1584,4
4,1618,1
5,1612,1
8,1604,4
4,1638,1
5,1632,1
8,1624,4
4,1658,1
5,1652,1
8,1644,3
4,1678,1
5,1672,1
8,1664,4
4,1698,1
5,1692,1
8,1684,4
4,1718,1
5,1712,1
8,1704,3
4,1738,1
5,1732,1
8,1724,4
4,1758,1
5,1752,1
8,1744,3
4,1778,1
5,1772,1
8,1764,4
4,1798,1
5,1792,1
8,1784,4
4,1818,1
5,1812,1
8,1804,3
4,1838,1
5,1832,1
8,1824,4
4,1858,1
5,1852,1
8,1844,3
4,1878,1
5,1872,1
8,1864,4
4,1898,1
5,1892,1
8,1884,4
4,1918,1
5,1912,1
8,1904,4
4,1938,1
5,1932,1
8,1924,4
4,1958,1
5,1952,1
8,1944,3
4,1978,1
5,1972,1
8,1964,4
4,1998,1
5,1992,1
8,1984,4
4,2018,1
5,2012,1
8,2004,3
4,2038,1
5,2032,0
4,2058,1
5,2052,1
4,2078,1
5,2072,1
4,2098,1
5,2092,0
4,2118,1
5,2112,0
4,2138,1
5,2132,0
4,2158,1
5,2152,0
4,2178,1
5,2172,0
